,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,ResultOld,Bounce (x)Old,Bounce (y)Old,Bounce (x)2,Bounce (y)2,comment,Hit (x)Old,Hit (y)Old,Hit (x)2,Hit (y)2
365,Player,1,serve,Serve,Slice,147,136,0,0,service_box,ad,near,-2.016706,5.721681,service_box,ad,far,0.026706,23.452425,2.170837,down the T,In,False,16:39:07,3621.540039,0,,,,,,,,,,,
366,Opponent,2,return,Forehand,Topspin,79,136,0,0,service_box,ad,far,2.636883,14.894243,no_mans_land,ad,near,-2.145312,0.272409,1.103394,inside out,In,False,16:39:08,3622.360107,0,,,,,,,,,,,
367,Player,3,serve_plus_one,Backhand,Flat,70,136,0,0,no_mans_land,deuce,near,3.215855,-1.0,no_mans_land,ad_alley,far,4.425632,22.587975,0.816323,down the line,Out,False,16:39:09,3623.5,0,Out,In,3.215855,3.579251,3.215855,-1.0,,,,,
368,Player,1,serve,Serve,Flat,151,137,0,0,service_box,deuce,near,0.488284,5.535517,no_mans_land,deuce,far,-0.59939,23.815676,2.300329,down the T,In,False,16:39:34,3648.840088,1,,,,,,,,,,,
369,Opponent,2,return,Backhand,Flat,67,137,0,0,no_mans_land,ad,far,1.405406,18.7635,no_mans_land,deuce,near,0.695064,1.163983,0.938722,inside in,In,False,16:39:35,3649.580078,1,,,,,,,,,,,
370,Player,3,serve_plus_one,Forehand,Topspin,90,137,0,0,no_mans_land,deuce,near,1.112853,4.396787,out,ad,far,1.524335,25.203032,1.338906,inside in,In,False,16:39:37,3651.320068,1,,,,,,,,,,,
371,Opponent,4,return_plus_one,Forehand,Topspin,75,137,0,0,no_mans_land,ad_alley,far,4.5938,18.371021,no_mans_land,deuce,near,0.946418,0.44193,0.91755,down the line,Out,False,16:39:38,3652.459961,1,,,,,,,,,,,
372,Player,1,serve,Serve,Flat,145,138,0,0,service_box,ad,near,-1.910701,7.249165,no_mans_land,ad,far,1.230662,22.858768,2.434617,down the T,In,False,16:39:58,3672.47998,0,,,,,,,,,,,
373,Opponent,2,return,Backhand,Topspin,82,138,0,0,no_mans_land,ad,far,0.29254,19.481066,out,ad,near,-3.824222,-2.36422,0.97071,cross court,In,False,16:39:59,3673.159912,0,,,,,,,,,,,
374,Player,3,serve_plus_one,Forehand,Topspin,65,138,0,0,no_mans_land,ad,near,-2.609011,3.970374,no_mans_land,ad,far,0.334528,23.53768,0.926301,inside out,In,False,16:40:00,3674.320068,0,,,,,,,,,,,
