,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Video Time_2,Result2,comment,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2
80,Player,7,none,Backhand,Topspin,75,28,0,0,no_mans_land,ad,near,-1.293356,3.026001,no_mans_land,ad,far,2.379389,24.791494,0.807225,cross court,In,False,14:36:53,6363.299988,0,499.299988,,,,,,,,,,,
81,Opponent,8,none,Backhand,Flat,97,28,0,0,service_box,ad,far,1.804897,17.19035,no_mans_land,ad,near,-2.40565,-0.113053,0.904464,cross court,In,False,14:36:54,6364.880005,0,500.880005,,,,,,,,,,,
82,Player,9,none,Backhand,Topspin,96,28,0,0,no_mans_land,deuce_alley,near,5.323857,2.427938,no_mans_land,ad,far,3.729551,24.847719,1.054503,down the line,Out,False,14:36:55,6366.100006,0,502.100006,,,,,,,,,,,
83,Player,0,none,Backhand,Topspin,91,29,0,0,no_mans_land,deuce,near,0.161153,4.986276,no_mans_land,deuce,far,-0.403657,20.733492,1.798077,inside out,In,False,14:37:38,6408.340027,1,544.340027,,,,,,,,,,,
84,Opponent,0,none,Forehand,Topspin,84,30,0,0,no_mans_land,ad,near,-0.516349,1.851863,no_mans_land,deuce,near,1.827316,1.283198,2.237829,down the line,Net,False,14:37:47,6417.619995,1,553.619995,,,,,,,,,,,
85,Player,1,serve,Serve,Flat,177,31,0,0,service_box,ad,near,-3.840564,6.455532,no_mans_land,ad,far,0.648406,23.44768,2.318386,out wide,In,False,14:38:09,6439.52002,1,575.52002,,,,,,,,,,,
86,Opponent,1,serve,Serve,Flat,142,32,0,0,service_box,deuce,near,3.572531,5.842364,no_mans_land,deuce,far,-0.522561,23.596668,3.409446,out wide,In,False,14:40:12,6562.179993,0,698.179993,,,,,,,,,,,
87,Player,2,return,Forehand,Topspin,91,32,0,0,no_mans_land,deuce,far,-4.61,18.34,no_mans_land,deuce_alley,near,4.76,0.6,1.282436,down the line,Out,False,14:40:13,6563.359985,0,699.359985,Out,,In,-1.064621,18.340208,4.75963,0.601556,-4.61,18.34,4.76,0.6
88,Opponent,1,serve,Serve,Flat,155,33,0,0,service_box,deuce,near,0.399656,6.449491,no_mans_land,ad,far,0.879558,24.32173,2.60219,down the T,Out,False,14:40:28,6578.900024,-2,714.900024,,,,,,,,,,,
89,Opponent,1,serve,Serve,Flat,111,34,0,0,service_box,ad,near,-0.178778,5.886526,no_mans_land,ad,far,1.342606,24.79738,2.336287,down the T,In,False,14:40:38,6588.419983,0,724.419983,,,,,,,,,,,
90,Player,2,return,Forehand,Topspin,97,34,0,0,no_mans_land,ad,far,2.0,25.0,no_mans_land,ad,near,-0.69,0.36,1.052083,inside out,Out,False,14:40:39,6589.359985,0,725.359985,Out,,Out,4.61,20.13,-0.69,0.36,2.0,25.0,-0.69,0.36
91,Opponent,1,serve,Serve,Flat,135,35,0,0,service_box,deuce,near,3.677612,7.515571,no_mans_land,deuce,far,-0.321294,23.425589,2.233593,out wide,In,False,14:41:01,6611.359985,0,747.359985,,,,,,,,,,,
92,Player,2,return,Forehand,Slice,80,35,0,0,no_mans_land,ad,far,1.05,24.23,no_mans_land,deuce_alley,near,4.96,0.8,1.211583,down the line,Out,False,14:41:01,6612.099976,0,748.099976,Out,,In,1.05016,22.988665,4.964036,0.801798,1.05,24.23,4.96,0.8
93,Opponent,0,serve_plus_one,Backhand,Topspin,84,35,0,0,out,ad,far,0.147125,11.88,no_mans_land,ad,far,0.770575,22.906881,1.347684,cross court,Net,False,14:41:03,6613.619995,0,749.619995,,,,,,,,,,,
94,Opponent,1,serve,Serve,Flat,144,37,0,0,no_mans_land,ad,near,-3.301278,2.735873,no_mans_land,ad,far,0.621428,23.583879,2.392187,out wide,Out,False,14:41:18,6628.97998,-2,764.97998,,,,,,,,,,,
95,Player,0,return,Backhand,Topspin,66,37,0,0,service_box,ad,far,2.315947,16.273682,out,ad_alley,near,-4.441338,-1.592331,0.833217,down the line,In,False,14:41:20,6630.799988,-2,766.799988,,,,,,,,,,,
96,Opponent,1,serve,Serve,Flat,152,38,0,0,service_box,ad,near,-3.82768,5.68207,service_box,ad,far,0.184564,23.418528,2.263197,out wide,In,False,14:41:30,6640.400024,0,776.400024,,,,,,,,,,,
97,Player,2,return,Backhand,Flat,97,38,0,0,no_mans_land,ad,far,1.390634,19.586195,no_mans_land,ad_alley,near,-5.088595,-0.2855,0.943391,down the line,In,False,14:41:30,6641.119995,0,777.119995,,,,,,,,,,,
98,Opponent,3,serve_plus_one,Backhand,Topspin,90,38,0,0,no_mans_land,ad,near,-1.905127,4.129117,no_mans_land,ad,far,3.25461,24.478178,0.719659,cross court,In,False,14:41:32,6642.419983,0,778.419983,,,,,,,,,,,
99,Player,4,return_plus_one,Backhand,Flat,98,38,0,0,no_mans_land,ad,far,1.461474,21.157192,out,ad,near,-2.771245,-0.670511,0.60662,cross court,In,False,14:41:33,6643.599976,0,779.599976,,,,,,,,,,,
100,Opponent,5,in_play,Backhand,Topspin,85,38,0,0,no_mans_land,deuce,near,2.45477,3.951186,out,ad,far,1.8322,25.518564,0.804583,down the line,In,False,14:41:34,6644.820007,0,780.820007,,,,,,,,,,,
